Dec 23 07:22:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:14 localhost app-9: [ClamClient] <TCP105218289798624> WARN  <UTThread-11509>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:14 localhost app-9: [ClamClient] <TCP105218289798630> WARN  <UTThread-11510>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:14 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:14 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:14 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:14 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:15 localhost app-9: [ClamClient] <TCP105218289798633> WARN  <UTThread-11511>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:15 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:15 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:15 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:15 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:15 localhost app-9: [ClamClient] <TCP105218289798634> WARN  <UTThread-11512>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:15 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:15 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:15 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:15 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:15 localhost app-9: [ClamClient] <TCP105218289798633> WARN  <UTThread-11513>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:15 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:15 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:15 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:15 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:22:15 localhost app-9: [ClamClient] <TCP105218289798635> WARN  <UTThread-11514>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:22:15 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:22:15 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:22:15 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:22:15 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:41:08 localhost app-9: [ClamClient] <TCP105218289805068> WARN  <UTThread-11515>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:41:08 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:41:08 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:41:08 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:41:08 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:45:44 localhost app-9: [ClamClient] <TCP105218289807452> WARN  <UTThread-11516>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:45:44 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:45:44 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:45:44 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:45:44 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:45:44 localhost app-9: [ClamClient] <TCP105218289807453> WARN  <UTThread-11517>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:45:44 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:45:44 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:45:44 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:45:44 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:45:44 localhost app-9: [ClamClient] <TCP105218289807452> WARN  <UTThread-11518>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:45:44 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:45:44 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:45:44 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:45:44 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:45:44 localhost app-9: [ClamClient] <TCP105218289807453> WARN  <UTThread-11519>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:45:44 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:45:44 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:45:44 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:45:44 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:54:56 localhost app-9: [ClamClient] <TCP105218289811166> WARN  <UTThread-11520>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:54:56 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
Dec 23 07:54:56 localhost app-9:       com.untangle.app.virus_blocker.VirusClientSocket.create(VirusClientSocket.java:66)
Dec 23 07:54:56 localhost app-9:       com.untangle.app.clam.ClamClient.run(ClamClient.java:67)
Dec 23 07:54:56 localhost app-9:       java.base/java.lang.Thread.run(Thread.java:834)
Dec 23 07:55:08 localhost app-9: [ClamClient] <TCP105218289811166> WARN  <UTThread-11521>127.0.0.1:3310, finish, clamc could not connect to main clamd; clamd may not be configured or clamd may be overloaded
Dec 23 07:55:08 localhost app-9:       java.lang.Exception: Could not connect to socket: 127.0.0.1/3310
