Nov 26 08:13:39 localhost app-6: [HttpParserEventHandler] <TCP105218281330674> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:63108 -> 68.67.161.182:80]
Nov 26 08:15:02 localhost app-6: [HttpParserEventHandler] <TCP105218281331363> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:63280 -> 68.67.161.182:80]
Nov 26 08:19:23 localhost app-6: [HttpParserEventHandler] <TCP105218281333280> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:63654 -> 68.67.161.182:80]
Nov 26 08:21:17 localhost app-6: [HttpParserEventHandler] <TCP105218281334429> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:63856 -> 68.67.161.182:80]
Nov 26 08:22:05 localhost app-6: [HttpParserEventHandler] <TCP105218281334898> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:64007 -> 68.67.161.182:80]
Nov 26 08:23:14 localhost app-6: [RequestLine] <TCP105218281335547> WARN  ignoring bad uri: 216.115.218.197:443
Nov 26 08:23:14 localhost app-6: [RequestLine] <TCP105218281335552> WARN  ignoring bad uri: 216.115.218.197:443
Nov 26 08:24:44 localhost app-6: [HttpParserEventHandler] <TCP105218281336262> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:64202 -> 68.67.161.182:80]
Nov 26 08:25:58 localhost app-6: [HttpParserEventHandler] <TCP105218281337145> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:55647 -> 68.67.161.182:80]
Nov 26 08:25:59 localhost app-6: [HttpParserEventHandler] <TCP105218281337170> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:55664 -> 104.123.192.237:80]
Nov 26 08:26:49 localhost app-6: [HttpParserEventHandler] <TCP105218281337914> INFO  Protocol parse exception (buf limit exceeded). Releasing session: [6 : 192.168.1.157:55838 -> 68.67.161.182:80]
